runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,num_elements_uncomplete,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
openmp,marvin,dmatdmatadd,912,1,32,64,2048,512,435,846336,435,1.0,890880,435.0,0,32768,262144,20971520,8,512,8,334080.0,4,1765.0901173339785,1.0,471.219
openmp,marvin,dmatdmatadd,1048,1,32,64,2048,768,561,1106688,561,1.0,1148928,561.0,0,32768,262144,20971520,8,512,8,430848.0,4,3736.350616259172,1.0,293.951
openmp,marvin,dmatdmatadd,1200,1,32,64,2048,1536,722,1459200,722,1.0,1478656,722.0,0,32768,262144,20971520,8,512,8,554496.0,4,5556.155757566403,1.0,259.172
openmp,marvin,dmatdmatadd,1380,1,32,64,2048,1152,968,1943040,968,1.0,1982464,968.0,0,32768,262144,20971520,8,512,8,743424.0,4,7798.845161554527,1.0,244.19
openmp,marvin,dmatdmatadd,1587,1,32,64,2048,1632,1250,2539200,1250,1.0,2560000,1250.0,0,32768,262144,20971520,8,512,8,960000.0,4,10401.517901336414,1.0,242.44
openmp,marvin,dmatdmatadd,200,1,4,128,512,288,100,40000,100,1.0,51200,100.0,0,32768,262144,20971520,8,512,8,19200.0,4,39.74207394012856,1.0,1006.49
openmp,marvin,dmatdmatadd,230,1,4,128,512,408,116,53360,116,1.0,59392,116.0,0,32768,262144,20971520,8,512,8,22272.0,4,52.97377097583781,1.0,1016.05
openmp,marvin,dmatdmatadd,264,1,4,128,512,32,198,69696,198,1.0,101376,198.0,0,32768,262144,20971520,8,512,8,38016.0,4,70.62185248609268,1.0,986.89
openmp,marvin,dmatdmatadd,300,1,4,128,512,176,225,90000,225,1.0,115200,225.0,0,32768,262144,20971520,8,512,8,43200.0,4,89.40367747126666,1.0,1006.67
openmp,marvin,dmatdmatadd,345,1,4,128,512,356,261,120060,261,1.0,133632,261.0,0,32768,262144,20971520,8,512,8,50112.0,4,122.9628290873129,1.0,984.883
openmp,marvin,dmatdmatadd,396,1,4,128,512,48,396,156816,396,1.0,202752,396.0,0,32768,262144,20971520,8,512,8,76032.0,4,157.6667698903282,1.0,994.604
openmp,marvin,dmatdmatadd,455,1,4,128,512,284,456,207480,456,1.0,233472,456.0,0,32768,262144,20971520,8,512,8,87552.0,4,204.81664253420408,1.0,1015.23
openmp,marvin,dmatdmatadd,523,1,4,128,512,44,655,274052,655,1.0,335360,655.0,0,32768,262144,20971520,8,512,8,125760.0,4,274.84644890572326,1.0,999.016
openmp,marvin,dmatdmatadd,600,1,4,128,512,352,750,360000,750,1.0,384000,750.0,0,32768,262144,20971520,8,512,8,144000.0,4,351.64835164835165,1.0,1023.75
openmp,marvin,dmatdmatadd,690,1,4,128,512,200,1038,477480,1038,1.0,531456,1038.0,0,32768,262144,20971520,8,512,8,199296.0,4,479.2282134422161,1.0,999.24
openmp,marvin,dmatdmatadd,793,1,4,128,512,100,1393,631228,1393,1.0,713216,1393.0,0,32768,262144,20971520,8,512,8,267456.0,4,680.7417060873059,1.0,930.773
openmp,marvin,dmatdmatadd,912,1,4,128,512,64,1824,831744,1824,1.0,933888,1824.0,0,32768,262144,20971520,8,512,8,350208.0,4,1181.9212700469789,1.0,703.722
openmp,marvin,dmatdmatadd,1048,1,4,128,512,96,2358,1098304,2358,1.0,1207296,2358.0,0,32768,262144,20971520,8,512,8,452736.0,4,2050.7312810535377,1.0,535.567
openmp,marvin,dmatdmatadd,1200,1,4,128,512,192,3000,1440000,3000,1.0,1536000,3000.0,0,32768,262144,20971520,8,512,8,576000.0,4,2925.0278791719734,1.0,492.303
