runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,360576,12250,136.11111111111111,368640,12250.0,0,32768,262144,20971520,8,512,8,138240.0,4,109450.49152205428,137.0,447.691
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,276800,173,1.73,276800,173.0,0,32768,262144,20971520,8,512,8,103800.0,4,470.6415778734981,2.0,1014.53
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,337920,5280,52.8,409600,5280.0,0,32768,262144,20971520,8,512,8,153600.0,4,47974.562387520076,53.0,371.733
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,367712,11235,112.35,409600,11235.0,0,32768,262144,20971520,8,512,8,153600.0,4,92185.05720132854,113.0,447.105
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,400192,12250,122.5,409600,12250.0,0,32768,262144,20971520,8,512,8,153600.0,4,110535.87340258744,123.0,443.295
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,477480,173,1.0,478864,173.0,0,32768,262144,20971520,8,512,8,179574.0,4,467.0736001878155,1.0,1022.28
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,675840,5280,26.4,819200,5280.0,0,32768,262144,20971520,8,512,8,307200.0,4,47809.55240525875,27.0,373.016
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,735424,11235,56.175,819200,11235.0,0,32768,262144,20971520,8,512,8,307200.0,4,92324.026951473,57.0,446.432
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,800384,12250,61.25,819200,12250.0,0,32768,262144,20971520,8,512,8,307200.0,4,108979.9476896251,62.0,449.624
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,1013760,5280,17.6,1228800,5280.0,0,32768,262144,20971520,8,512,8,460800.0,4,48230.94086116017,18.0,369.757
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,1103136,11235,37.45,1228800,11235.0,0,32768,262144,20971520,8,512,8,460800.0,4,92672.35370564401,38.0,444.754
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,1200576,12250,40.833333333333336,1228800,12250.0,0,32768,262144,20971520,8,512,8,460800.0,4,109160.33425339902,41.0,448.881
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,1351680,5280,13.2,1638400,5280.0,0,32768,262144,20971520,8,512,8,614400.0,4,47954.56696639849,14.0,371.888
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,1467856,11235,28.0875,1638400,11235.0,0,32768,262144,20971520,8,512,8,614400.0,4,93102.74724530042,29.0,442.698
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,1600096,12250,30.625,1638400,12250.0,0,32768,262144,20971520,8,512,8,614400.0,4,110700.94028023152,31.0,442.634
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,1689600,5280,10.56,2048000,5280.0,0,32768,262144,20971520,8,512,8,768000.0,4,48058.85507476804,11.0,371.081
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,1835568,11235,22.47,2048000,11235.0,0,32768,262144,20971520,8,512,8,768000.0,4,94385.82028029679,23.0,436.68
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000288,12250,24.5,2048000,12250.0,0,32768,262144,20971520,8,512,8,768000.0,4,110292.29709593629,25.0,444.274
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,2027520,5280,8.8,2457600,5280.0,0,32768,262144,20971520,8,512,8,921600.0,4,47858.049903659856,9.0,372.638
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,2203280,11235,18.725,2457600,11235.0,0,32768,262144,20971520,8,512,8,921600.0,4,90614.17239741808,19.0,454.856
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,2400480,12250,20.416666666666668,2457600,12250.0,0,32768,262144,20971520,8,512,8,921600.0,4,109520.45685676289,21.0,447.405
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,2365440,5280,7.542857142857143,2867200,5280.0,0,32768,262144,20971520,8,512,8,1075200.0,4,48065.97920361376,8.0,371.026
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,2568000,11235,16.05,2867200,11235.0,0,32768,262144,20971520,8,512,8,1075200.0,4,92698.82395805922,17.0,444.627
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,2800000,12250,17.5,2867200,12250.0,0,32768,262144,20971520,8,512,8,1075200.0,4,109062.9048125676,18.0,449.282
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,2703360,5280,6.6,3276800,5280.0,0,32768,262144,20971520,8,512,8,1228800.0,4,47353.053009463314,7.0,376.612
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,2935712,11235,14.04375,3276800,11235.0,0,32768,262144,20971520,8,512,8,1228800.0,4,93099.17215364287,15.0,442.715
